region	general	alimentos	bebidas_tabaco	vestido_calzado	vivienda	muebles	sanidad	transporte	comunicaciones	ocio_cultura	ensenanza	restaurantes_hoteles	otros_bienes_servicios
Andalucía	120.163	133.97	121.98	112.892	113.463	113.29	109.008	114.849	102.571	108.076	111.239	126.91	115.507
Aragón	119.472	134.338	121.679	114.676	117.664	114.088	108.217	113.805	102.614	108.551	112.703	123.111	115.832
Canarias	118.784	135.349	116.666	107.015	111.481	112.299	108.032	114.58	102.445	108.215	111.384	128.578	116.05
Cantabria	119.125	133.1	124.251	111.534	114.17	111.248	109.196	113.111	103.551	111.31	109.356	125.433	117.824
Castilla - La Mancha	120.695	134.559	121.934	115.46	117.441	113.409	107.166	114.803	103.095	106.15	112.077	126.191	117.385
Castilla y León	119.889	135.383	121.746	115.542	116.008	114.468	106.565	114.771	102.498	107.694	104.08	126.089	114.787
Cataluña	118.162	130.332	121.965	119.027	113.288	114.094	108.331	114.067	102.227	111	111.159	122.295	117.182
Ceuta	119.088	136.191	125.663	112.918	108.346	111.528	105.287	115.927	104.925	105.855	103.493	118.46	112.489
Comunidad de Madrid	118.567	134.94	121.865	114.427	114.394	113.446	105.142	110.526	103.232	110.101	111.468	126.233	118.26
Comunidad Foral de Navarra	119.631	134.852	122.189	119.454	117.624	117.244	108.951	114.835	101.354	110.509	108.425	121.661	116.59
Comunitat Valenciana	119.767	133.454	120.866	116.641	115.539	113.819	108.698	115.17	101.577	108.729	111.85	127.139	117.179
Extremadura	119.405	136.584	122.41	106.823	116.453	109.89	104.636	113.14	101.946	102.223	109.861	123.277	117.358
Galicia	119.798	133.47	120.331	115.142	115.194	115.446	108.635	115.413	102.418	109.415	108.311	127.425	117.264
Illes Balears	120.201	133.569	122.49	113.478	112.679	115.275	114.357	115.903	103.335	112.884	111.351	126.228	118.706
La Rioja	119.12	133.145	121.421	117.932	114.499	113.138	110.388	113.041	102.201	108.265	108.459	124.26	117.158
Melilla	120.284	136.72	126.98	106.073	112.478	115.364	110.02	115.66	101.992	107.2	107.371	126.69	112.337
País Vasco	119.698	135.193	121.073	113.68	113.256	117.197	108.93	114.455	102.662	109.316	110.153	124.418	118.286
Principado de Asturias	119.205	133.973	120.143	116.847	116.251	113.793	105.843	114.542	101.983	108.559	110.01	123.663	116.882
Región de Murcia	118.663	132.555	123.204	112.054	111.835	114.656	107.22	115.019	102.234	109.302	110.471	124.174	115.871
